unix,open,high,low,close,Volume BTC,tradecount
1.64443E+12,44124.94,44141.79,44100,44121.33,17.43918,593
1.64442E+12,43911.15,43943.2,43895.75,43900,17.74235,762
1.64442E+12,44001.09,44020.58,43915.58,43920.51,39.63111,1093
1.64442E+12,44044,44052.06,43999.99,44014.39,59.57904,760
1.64442E+12,44164.5,44164.51,44129.01,44130.12,18.42456,730
1.64442E+12,44106.18,44106.61,44045.01,44078.07,34.95293,1016
1.64442E+12,43859.3,43880.22,43843.99,43858.87,19.94304,979
1.64441E+12,44138.31,44163.88,44131.64,44139.73,22.54021,753
1.64441E+12,44151.82,44156.91,44111.57,44148.9,21.52829,1002
1.64441E+12,43909.01,43954.64,43907.71,43944.7,42.42897,1638
1.64441E+12,43856.88,43892.42,43714.17,43719.99,56.69473,1681
1.64441E+12,43624.97,43627.67,43593.74,43617.89,17.20488,601
1.6444E+12,43617.88,43636.62,43588.6,43588.61,16.71377,744
1.6444E+12,43551.1,43572.14,43527.06,43564.1,21.83047,651
1.6444E+12,43377.43,43402.59,43377.43,43399.99,5.67796,352
1.6444E+12,43475.29,43508.4,43475,43500,27.38229,494
1.6444E+12,43504.86,43533.51,43499,43533.51,15.36421,588
1.6444E+12,43292.3,43316.64,43290,43310.13,19.60873,663
1.64439E+12,43773.38,43779.73,43707.7,43735.95,33.21311,1142
1.64439E+12,43463.05,43465.38,43427.04,43427.97,13.8266,544
1.64439E+12,43643.43,43655.13,43631.99,43636.59,9.23411,489
1.64439E+12,43683.48,43697.75,43683.21,43685.01,5.99975,369
1.64439E+12,43667.84,43676.51,43622.61,43630.11,35.48888,476
1.64438E+12,43432.71,43449.05,43417.62,43438,27.35289,655
1.64438E+12,43352.48,43379.2,43316.57,43321.67,10.9275,560
1.64438E+12,43415.64,43443.23,43415.63,43443,3.46002,302
1.64438E+12,43413.35,43444.4,43407.37,43443.9,12.36966,587
1.64438E+12,43409.51,43431.86,43408.92,43409.51,11.43804,477
1.64438E+12,43414.25,43414.25,43396.43,43404.44,22.10423,1021
1.64437E+12,43162.5,43221.7,43162.49,43210.63,43.79581,932
1.64437E+12,43770.44,43792.9,43714.64,43740,44.32127,1509
1.64437E+12,44076,44092.88,44016.97,44028.22,28.09812,621
1.64437E+12,44142.35,44215.55,44141.61,44189.21,33.69741,680
1.64437E+12,44011.8,44024.2,44000,44004.25,25.25503,581
1.64437E+12,44091.3,44120,44081.1,44111.64,20.43479,736
1.64436E+12,44169.03,44205.58,44134.05,44158.15,41.82943,682
1.64436E+12,44026.75,44052.75,44020.12,44020.13,4.27155,434
1.64436E+12,43879.72,43991.19,43865.22,43989.62,31.6709,1423
1.64436E+12,44147.34,44180.24,44147.33,44180.24,12.8166,615
1.64436E+12,44291.47,44298.31,44194.54,44231.14,40.39508,1187
1.64435E+12,44238.17,44257.6,44129.07,44139.66,48.52063,1528
1.64435E+12,43892.72,43999.33,43874.77,43922.29,87.35995,2259
1.64435E+12,43055,43080.31,43028.29,43050.96,13.98058,517
1.64435E+12,42963.78,43053.71,42950,43037.24,35.72418,1015
1.64435E+12,43021.12,43060.76,42983.44,43021.51,37.95476,839
1.64435E+12,43195.75,43250,43195.74,43250,23.12048,722
1.64434E+12,42995.8,43014.4,42983.68,43010.47,13.03235,589
1.64434E+12,42756.04,42756.05,42666,42695.39,114.78953,2284
1.64434E+12,42967.56,42967.97,42870.04,42889.57,82.55946,2132
1.64434E+12,43608.57,43617.04,43551.35,43551.36,31.478,850
1.64434E+12,43361.76,43423.5,43360.83,43363.46,20.86389,837
1.64433E+12,43137.76,43137.76,43072.37,43100.99,38.00088,1157
1.64433E+12,43287.72,43356,43265.19,43340.13,45.26752,1227
1.64433E+12,43530.31,43652.75,43530.3,43650.5,43.79945,1080
1.64433E+12,43608.02,43608.03,43580,43583.13,24.37935,736
1.64433E+12,43423.58,43498.74,43420.48,43495.79,28.74676,885
1.64433E+12,43507.7,43517.19,43469.92,43490.97,34.35692,794
1.64432E+12,43230.99,43279.95,43179.78,43208.61,58.19747,2021
1.64432E+12,43781.01,43814.72,43781.01,43798.16,14.18015,720
1.64432E+12,43893.07,43895.53,43872.51,43872.52,12.35234,576
1.64432E+12,43979.45,44031.86,43974.58,44012.49,33.33398,897
1.64432E+12,43791.54,43794.91,43768.65,43778.59,26.0125,854
1.64431E+12,43808.79,43835.16,43720.01,43745.53,105.46535,2034
1.64431E+12,43972.2,44045.52,43926.79,43996.19,161.61537,3920
1.64431E+12,44120.66,44125.54,44085.88,44092.73,57.82538,849
1.64431E+12,44048,44178.84,44008.74,44172.09,90.64197,2317
1.64431E+12,44745.01,44745.61,44620.99,44652.36,125.2197,2895
1.64431E+12,44834.87,44881.48,44834.87,44872.61,18.55044,1024
1.6443E+12,44695,44695,44619.34,44641.97,107.25131,1632
1.6443E+12,44805.39,44819.36,44675.56,44732.84,114.89737,2896
1.6443E+12,44853.81,44900,44822.13,44899.05,60.44218,1252
1.6443E+12,44377.6,44405.8,44375.77,44399.45,55.98871,1206
1.6443E+12,44307.46,44307.5,44288.92,44307.49,18.58407,518
